YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1927,33.8,60.5,66,265.2,238.4,573.9,447.7,366.4,549.8,161.2,29.8,0.2,2793.1
1928,8.3,21.1,61,138.9,446.5,420.6,428.1,448.2,343.5,294.8,21.6,1.5,2634.3
1929,83.9,3.8,84.1,321.7,570.2,643.4,385,333.2,292.8,196,17.6,22.1,2953.8
1930,18,41,99.8,199.4,209.8,686.9,287.8,438.5,299.1,149.9,114.4,6.2,2550.7
1931,7.6,29.2,47.6,294.7,374,605.6,654.6,282,330.2,136.7,21.6,16.3,2800.1
1932,14.9,36.7,59.1,163.2,488.6,628.5,454.6,467.3,355.8,108.4,90.9,20.6,2888.7
1933,10.3,29,16.7,214.4,286.7,477.2,427.1,501.7,243.1,122.1,8.1,2.7,2339.1
1934,18.5,68.2,27.1,301.2,444.6,754.5,553.2,361.8,246.8,232.8,59.8,6.3,3074.9
1935,3.4,53.2,66.5,122.1,381.5,696.9,395.2,573.9,335,28.1,19.8,2.9,2678.4
1936,13.6,58.7,75.7,217.8,422.8,456.1,559.9,356.4,283.5,179.6,24,23.2,2671.3
1937,2.2,51.1,19.3,97.4,406.6,422.5,409.2,480.5,278.1,139.3,13.5,4.9,2324.6
1938,27.2,16.2,138,202,247.3,581,510.6,435.2,431.4,141.8,55.2,0.6,2786.5
1939,1.5,33.6,11.2,178.3,349.6,533.7,484.9,224.9,389,190.1,2.8,1.9,2401.6
1940,1.5,57.9,180.8,72.6,391.9,500.5,435.4,330.8,353.7,98.1,19,9.5,2451.6
1941,4.5,32.7,53.8,245.1,522.4,541.7,409.4,361.8,368.1,143.3,16.7,9.9,2709.5
1942,7.4,25.3,130.9,233.5,469.1,618.8,332.9,328.8,462.9,40,27.5,0,2677
1943,54.4,34.1,170.6,247.7,406.6,513.3,391.9,417.9,365,86.7,9.4,6.2,2703.7
1944,39.2,21.3,62.9,139,518,490.6,386.9,304.1,455.6,89.7,7.2,9.9,2524.3
1945,37,39.7,67.5,139.5,396.5,500.5,507.7,493.5,283.2,196.6,1.1,2.9,2665.7
